ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,vetha3f20d0_bytes_sent,vetha3f20d0_bytes_recv,vetha3f20d0_packets_sent,vetha3f20d0_packets_recv,vethe7b3f9d_bytes_sent,vethe7b3f9d_bytes_recv,vethe7b3f9d_packets_sent,vethe7b3f9d_packets_recv,
1648022674.5923562,3.8,3.8,0.0,0.0,16780898304,13995565056,16.6,2436804608,6175637504,1943875584,7756562432,26406,2945143,1163705344,29802017792,6476,3545041,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022674.845095,0.0,0.0,0.0,0.0,16780898304,13995548672,16.6,2436812800,6175621120,1943879680,7756664832,26406,2945145,1163705344,29802066944,6476,3545043,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022675.0977824,0.0,0.0,0.0,0.0,16780898304,13995290624,16.6,2437079040,6175354880,1943883776,7756701696,26406,2945145,1163705344,29802066944,6476,3545043,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022675.350702,4.0,11.1,4.0,7.7,16780898304,13995290624,16.6,2437079040,6175354880,1943883776,7756701696,26406,2945145,1163705344,29802066944,6476,3545043,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022675.6036632,3.8,4.0,0.0,0.0,16780898304,13995274240,16.6,2437095424,6175338496,1943887872,7756705792,26406,2945145,1163705344,29802066944,6476,3545043,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022675.85668,0.0,0.0,0.0,0.0,16780898304,13995298816,16.6,2437070848,6175363072,1943887872,7756673024,26406,2945145,1163705344,29802066944,6476,3545043,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022676.109494,0.0,0.0,0.0,0.0,16780898304,13995548672,16.6,2436820992,6175612928,1943887872,7756693504,26406,2945145,1163705344,29802066944,6476,3545043,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022676.362568,0.0,3.8,0.0,0.0,16780898304,13995548672,16.6,2436820992,6175612928,1943887872,7756693504,26406,2945145,1163705344,29802066944,6476,3545043,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022676.6154978,0.0,3.8,0.0,0.0,16780898304,13995282432,16.6,2437087232,6175346688,1943887872,7756722176,26406,2945145,1163705344,29802066944,6476,3545043,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022676.868356,0.0,3.8,0.0,0.0,16780898304,13995282432,16.6,2437087232,6175346688,1943887872,7756722176,26406,2945145,1163705344,29802066944,6476,3545043,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022677.1212714,3.8,0.0,0.0,0.0,16780898304,13995298816,16.6,2437070848,6175363072,1943887872,7756709888,26406,2945145,1163705344,29802066944,6476,3545043,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022677.3744414,0.0,7.4,3.8,0.0,16780898304,13995298816,16.6,2437070848,6175363072,1943887872,7756738560,26406,2945145,1163705344,29802066944,6476,3545043,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022677.627456,3.8,0.0,0.0,0.0,16780898304,13995008000,16.6,2437361664,6175072256,1943887872,7756722176,26406,2945145,1163705344,29802066944,6476,3545043,18428407,18428407,139800,139800,128272956,1800737649,540067,1663452,0,0,0,0,37964868,32550243,252241,210192,16905417,0,77374,0,16908944,3812,77421,45,16914277,4946,77402,37,82873325,61703396,341698,188768,18722063,14415,77587,224,16903945,0,77365,0,20353965,1211606,88917,12729,78247795,64103781,308856,256154,63962,25363,350,318,
